2016-02-24 13:43:50,227 [Worker-90] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/JohnMM2014/Downloads/spring101Part1-master/SpringSample-01/src/test/resources
2016-02-24 13:43:50,386 [Worker-90] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-24 13:43:50,387 [Worker-90] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-02-24 13:43:50,414 [Worker-90] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-24 13:43:50,415 [Worker-90] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/JohnMM2014/Downloads/spring101Part1-master/SpringSample-01-Initial/src/test/resources
2016-02-24 13:45:39,973 [Worker-88] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2016-02-24 13:45:41,291 [Worker-88] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.denofprogramming:PreSpringSample-01:0.0.1-SNAPSHOT @ /Users/JohnMM2014/Downloads/spring101Part1-master/PreSpringSample-01/pom.xml.
2016-02-24 13:45:41,319 [Worker-88] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.denofprogramming:PreSpringSample-02:0.0.1-SNAPSHOT @ /Users/JohnMM2014/Downloads/spring101Part1-master/PreSpringSample-02/pom.xml.
2016-02-24 13:45:41,347 [Worker-88] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.denofprogramming:PreSpringSample-03:0.0.1-SNAPSHOT @ /Users/JohnMM2014/Downloads/spring101Part1-master/PreSpringSample-03/pom.xml.
2016-02-24 13:45:41,380 [Worker-88] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.denofprogramming:SpringSample-01:0.0.1-SNAPSHOT @ /Users/JohnMM2014/Downloads/spring101Part1-master/SpringSample-01/pom.xml.
2016-02-24 13:45:41,495 [Worker-88] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.denofprogramming:SpringSample-01-Initial:0.0.1-SNAPSHOT @ /Users/JohnMM2014/Downloads/spring101Part1-master/SpringSample-01-Initial/pom.xml.
2016-02-24 13:45:42,071 [Worker-88] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /PreSpringSample-01/src/main/java
2016-02-24 13:45:42,071 [Worker-88] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /PreSpringSample-01/src/test/java
2016-02-24 13:45:42,141 [Worker-88] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /PreSpringSample-02/src/main/java
2016-02-24 13:45:42,141 [Worker-88] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /PreSpringSample-02/src/test/java
2016-02-24 13:45:42,187 [Worker-88] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /PreSpringSample-03/src/main/java
2016-02-24 13:45:42,187 [Worker-88] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /PreSpringSample-03/src/test/java
2016-02-24 13:45:42,240 [Worker-88] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /SpringSample-01/src/main/java
2016-02-24 13:45:42,240 [Worker-88] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /SpringSample-01/src/main/resources
2016-02-24 13:45:42,240 [Worker-88] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /SpringSample-01/src/test/java
2016-02-24 13:45:42,271 [Worker-88] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /SpringSample-01-Initial/src/main/java
2016-02-24 13:45:42,271 [Worker-88] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /SpringSample-01-Initial/src/main/resources
2016-02-24 13:45:42,272 [Worker-88] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /SpringSample-01-Initial/src/test/java
2016-02-24 13:45:42,490 [Worker-88] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 2 sec
2016-02-24 13:45:42,684 [Worker-90] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-24 13:45:42,698 [Worker-90] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/JohnMM2014/Downloads/spring101Part1-master/PreSpringSample-01/src/main/resources
2016-02-24 13:45:42,701 [Worker-90] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-02-24 13:45:42,701 [Worker-90] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/JohnMM2014/Downloads/spring101Part1-master/PreSpringSample-01/src/test/resources
